"","group","group.ages","group.ages.short","col"
"1",1,"DOL 0-5","0-5 days","#c51b7d"
"2",2,"DOL 13-17","13-17 days","#de77ae"
"3",3,"DOL 26-35","26-35 days","#f1b6da"
"4",4,"DOL 83-115","3 months","#fde0ef"
"5",5,"DOL 165-200","6 months","#f7f7f7"
"6",6,"MOL 11-13","1 year","#e6f5d0"
"7",7,"MOL 22-26","2 years","#b8e186"
"8",8,"MOL 33-39","3 years","#7fbc41"
"9",9,"MOL 57-63","5 years","#4d9221"
"10",10,"Mothers_DOL 0-5","Mothers_0-5 days","#6baed6"
"11",11,"Mothers_DOL 26-35","Mothers_26-35 days","#08519c"
