"","MBI.sample.ID","Sample_Plate","Sample_Well","sample.name","sample.type","blank.type","subject.id"
"1","S0014-0001",1,"A1","PB001_S","stool","","PB001"
"2","S0014-0002",1,"B1","PB002_S","stool","","PB002"
"3","S0014-0003",1,"C1","PB003_S","stool","","PB003"
"4","S0014-0004",1,"D1","PB004_S","stool","","PB004"
"5","S0014-0005",1,"E1","PB005_S","stool","","PB005"
"6","S0014-0006",1,"F1","PB006_S","stool","","PB006"
"7","S0014-0007",1,"G1","PB007_S","stool","","PB007"
"8","S0014-0008",1,"H1","PB008_S","stool","","PB008"
"9","S0014-0009",1,"A2","PB009_S","stool","","PB009"
"10","S0014-0010",1,"B2","PB010_S","stool","","PB010"
"11","S0014-0011",1,"C2","PB011_S","stool","","PB011"
"12","S0014-0012",1,"D2","PB012_S","stool","","PB012"
"13","S0014-0013",1,"E2","PB013_S","stool","","PB013"
"14","S0014-0014",1,"F2","PB014_S","stool","","PB014"
"15","S0014-0015",1,"G2","PB015_S","stool","","PB015"
"16","S0014-0016",1,"H2","PB016_S","stool","","PB016"
"17","S0014-0017",1,"A3","PB017_S","stool","","PB017"
"18","S0014-0018",1,"B3","PB018_S","stool","","PB018"
"19","S0014-0019",1,"C3","PB019_S","stool","","PB019"
"20","S0014-0020",1,"D3","PB020_S","stool","","PB020"
"21","S0014-0021",1,"E3","PB021_S","stool","","PB021"
"22","S0014-0022",1,"F3","PB022_S","stool","","PB022"
"23","S0014-0023",1,"G3","PB023_S","stool","","PB023"
"24","S0014-0024",1,"H3","PB024_S","stool","","PB024"
"25","S0014-0025",1,"A4","PB025_S","stool","","PB025"
"26","S0014-0026",1,"B4","PB026_S","stool","","PB026"
"27","S0014-0027",1,"C4","PB027_S","stool","","PB027"
"28","S0014-0028",1,"D4","PB028_S","stool","","PB028"
"29","S0014-0029",1,"E4","PB029_S","stool","","PB029"
"30","S0014-0030",1,"F4","PB030_S","stool","","PB030"
"31","S0014-0031",1,"G4","PB031_S","stool","","PB031"
"32","S0014-0032",1,"H4","PB032_S","stool","","PB032"
"33","S0014-0033",1,"A5","PB033_S","stool","","PB033"
"34","S0014-0034",1,"B5","PB035_S","stool","","PB035"
"35","S0014-0035",1,"C5","PB036_S","stool","","PB036"
"36","S0014-0036",1,"D5","PB037_S","stool","","PB037"
"37","S0014-0037",1,"E5","PB038_S","stool","","PB038"
"38","S0014-0038",1,"F5","PB039_S","stool","","PB039"
"39","S0014-0039",1,"G5","PB040_S","stool","","PB040"
"40","S0014-0040",1,"H5","PB043_S","stool","","PB043"
"41","S0014-0041",1,"A6","PB044_S","stool","","PB044"
"42","S0014-0042",1,"B6","PB046_S","stool","","PB046"
"43","S0014-0043",1,"C6","PB047_S","stool","","PB047"
"44","S0014-0044",1,"D6","PB048_S","stool","","PB048"
"45","S0014-0045",1,"E6","PB049_S","stool","","PB049"
"46","S0014-0046",1,"F6","PB050_S","stool","","PB050"
"47","S0014-0047",1,"G6","PB052_S","stool","","PB052"
"48","S0014-0048",1,"H6","PB053_S","stool","","PB053"
"49","S0014-0049",1,"A7","PB054_S","stool","","PB054"
"50","S0014-0050",1,"B7","PB057_S","stool","","PB057"
"51","S0014-0051",1,"C7","PB058_S","stool","","PB058"
"52","S0014-0052",1,"D7","PB059_S","stool","","PB059"
"53","S0014-0053",1,"E7","PB060_S","stool","","PB060"
"54","S0014-0054",1,"F7","PB062_S","stool","","PB062"
"55","S0014-0055",1,"G7","PB063_S","stool","","PB063"
"56","S0014-0056",1,"H7","PB064_S","stool","","PB064"
"57","S0014-0057",1,"A8","PB065_S","stool","","PB065"
"58","S0014-0058",1,"B8","PB066_S","stool","","PB066"
"59","S0014-0059",1,"C8","PB067_S","stool","","PB067"
"60","S0014-0060",1,"D8","PB068_S","stool","","PB068"
"61","S0014-0061",1,"E8","PB069_S","stool","","PB069"
"62","S0014-0062",1,"F8","PB070_S","stool","","PB070"
"63","S0014-0063",1,"G8","PB071_S","stool","","PB071"
"64","S0014-0064",1,"H8","PB072_S","stool","","PB072"
"65","S0014-0065",1,"A9","PB073_S","stool","","PB073"
