Sample_Name,Sample_Plate,Sample_Well,sample.name,sample.type,subject.id
DNA-06YS,1,F6,blank1,,NA
DNA-06YT,1,G6,blank2,,NA
DNA-06YU,1,H6,blank3,,NA
DNA-06ZZ,1,A12,neg control,,NA
DNA-0700,1,B12,pos control 1,,NA
DNA-0701,1,C12,pos control 2,,NA
DNA-0702,1,D12,blank 4,,NA
DNA-0703,1,E12,blank 5,,NA
DNA-0704,1,F12,blank 6,,NA
DNA-0705,1,G12,blank 7,,NA
DNA-0706,1,H12,blank 8,,NA
DNA-077J,2,E8,blank 1,blank,NA
DNA-077K,2,F8,blank 2,blank,NA
DNA-077L,2,G8,bank 3,blank,NA
DNA-077M,2,H8,blank 4,blank,NA
S0014-0157,2,A9,PB016_BM ,breastmilk,PB016
S0014-0158,2,B9,PB018_BM ,breastmilk,PB018
S0014-0159,2,C9,PB022_BM ,breastmilk,PB022
S0014-0160,2,D9,PB024_BM ,breastmilk,PB024
S0014-0161,2,E9,PB026_BM ,breastmilk,PB026
S0014-0162,2,F9,PB030_BM ,breastmilk,PB030
S0014-0163,2,G9,PB040_BM ,breastmilk,PB040
S0014-0164,2,H9,PB044_BM ,breastmilk,PB044
S0014-0165,2,A10,PB053_BM ,breastmilk,PB053
S0014-0166,2,B10,PB076_BM ,breastmilk,PB076
S0014-0167,2,C10,PB080_BM ,breastmilk,PB080
S0014-0168,2,D10,PB103_BM ,breastmilk,PB103
S0014-0170,2,E10,PB128_BM ,breastmilk,PB128
S0014-0171,2,F10,PB142_BM ,breastmilk,PB142
S0014-0172,2,G10,PB147_BM ,breastmilk,PB147
S0014-0173,2,H10,PB160_BM ,breastmilk,PB160
S0014-0174,2,A11,PB180_BM ,breastmilk,PB180
S0014-0175,2,B11,PB185_BM ,breastmilk,PB185
S0014-0176,2,C11,PB186_BM ,breastmilk,PB186
S0014-0177,2,D11,PB189_BM ,breastmilk,PB189
S0014-0179,2,E11,PB196_BM ,breastmilk,PB196
S0014-0180,2,F11,PB198_BM ,breastmilk,PB198
S0014-0192,2,G11,PB202_BM ,breastmilk,PB202
S0014-0193,2,H11,PB204_BM ,breastmilk,PB204
S0014-0194,2,A12,PB206_BM ,breastmilk,PB206
S0014-0195,2,B12,PB208_BM ,breastmilk,PB208
S0014-0196,2,C12,PB212_BM ,breastmilk,PB212
S0014-0197,2,D12,BM_BL1 ,bm.blank,NA
S0014-0198,2,E12,BM_BL2 ,bm.blank,NA
DNA-078G,2,F12,Blank 5,blank,NA
DNA-078H,2,G12,blank 6,blank,NA
DNA-078I,2,H12,blank 7,blank,NA
S0014-0001,3,A1,PB001_S ,stool,PB001
S0014-0002,3,B1,PB002_S ,stool,PB002
S0014-0003,3,C1,PB003_S ,stool,PB003
S0014-0004,3,D1,PB004_S ,stool,PB004
S0014-0005,3,E1,PB005_S ,stool,PB005
S0014-0006,3,F1,PB006_S ,stool,PB006
S0014-0007,3,G1,PB007_S ,stool,PB007
S0014-0008,3,H1,PB008_S ,stool,PB008
S0014-0009,3,A2,PB009_S ,stool,PB009
S0014-0010,3,B2,PB010_S ,stool,PB010
S0014-0011,3,C2,PB011_S ,stool,PB011
S0014-0012,3,D2,PB012_S ,stool,PB012
S0014-0013,3,E2,PB013_S ,stool,PB013
S0014-0014,3,F2,PB014_S ,stool,PB014
S0014-0015,3,G2,PB015_S ,stool,PB015
S0014-0016,3,H2,PB016_S ,stool,PB016
S0014-0017,3,A3,PB017_S ,stool,PB017
S0014-0018,3,B3,PB018_S ,stool,PB018
S0014-0019,3,C3,PB019_S ,stool,PB019
S0014-0020,3,D3,PB020_S ,stool,PB020
S0014-0021,3,E3,PB021_S ,stool,PB021
S0014-0022,3,F3,PB022_S ,stool,PB022
S0014-0023,3,G3,PB023_S ,stool,PB023
S0014-0024,3,H3,PB024_S ,stool,PB024
S0014-0025,3,A4,PB025_S ,stool,PB025
S0014-0026,3,B4,PB026_S ,stool,PB026
S0014-0027,3,C4,PB027_S ,stool,PB027
S0014-0028,3,D4,PB028_S ,stool,PB028
S0014-0029,3,E4,PB029_S ,stool,PB029
S0014-0030,3,F4,PB030_S ,stool,PB030
S0014-0031,3,G4,PB031_S ,stool,PB031
S0014-0032,3,H4,PB032_S ,stool,PB032
S0014-0033,3,A5,PB033_S ,stool,PB033
S0014-0034,3,B5,PB035_S ,stool,PB035
S0014-0035,3,C5,PB036_S ,stool,PB036
S0014-0036,3,D5,PB037_S ,stool,PB037
S0014-0037,3,E5,PB038_S ,stool,PB038
S0014-0038,3,F5,PB039_S ,stool,PB039
S0014-0039,3,G5,PB040_S ,stool,PB040
S0014-0040,3,H5,PB043_S ,stool,PB043
S0014-0041,3,A6,PB044_S ,stool,PB044
S0014-0042,3,B6,PB046_S ,stool,PB046
S0014-0043,3,C6,PB047_S ,stool,PB047
S0014-0044,3,D6,PB048_S ,stool,PB048
S0014-0045,3,E6,PB049_S ,stool,PB049
S0014-0046,3,F6,PB050_S ,stool,PB050
S0014-0047,3,G6,PB052_S ,stool,PB052
S0014-0048,3,H6,PB053_S ,stool,PB053
S0014-0049,3,A7,PB054_S ,stool,PB054
S0014-0050,3,B7,PB057_S ,stool,PB057
S0014-0051,3,C7,PB058_S ,stool,PB058
S0014-0052,3,D7,PB059_S ,stool,PB059
S0014-0053,3,E7,PB060_S ,stool,PB060
S0014-0054,3,F7,PB062_S ,stool,PB062
S0014-0055,3,G7,PB063_S ,stool,PB063
S0014-0056,3,H7,PB064_S ,stool,PB064
S0014-0057,3,A8,PB065_S ,stool,PB065
S0014-0058,3,B8,PB066_S ,stool,PB066
S0014-0059,3,C8,PB067_S ,stool,PB067
S0014-0060,3,D8,PB068_S ,stool,PB068
S0014-0061,3,E8,PB069_S ,stool,PB069
S0014-0062,3,F8,PB070_S ,stool,PB070
S0014-0063,3,G8,PB071_S ,stool,PB071
S0014-0064,3,H8,PB072_S ,stool,PB072
S0014-0065,3,A9,PB073_S ,stool,PB073
S0014-0066,3,B9,PB074_S ,stool,PB074
S0014-0067,3,C9,PB075_S ,stool,PB075
S0014-0068,3,D9,PB076_S ,stool,PB076
S0014-0069,3,E9,PB080_S ,stool,PB080
S0014-0070,3,F9,PB083_S ,stool,PB083
S0014-0071,3,G9,PB086_S ,stool,PB086
S0014-0072,3,H9,PB089_S ,stool,PB089
S0014-0073,3,A10,PB091_S ,stool,PB091
S0014-0074,3,B10,PB092_S ,stool,PB092
S0014-0075,3,C10,PB094_S ,stool,PB094
S0014-0076,3,D10,PB095_S ,stool,PB095
S0014-0077,3,E10,PB096_S ,stool,PB096
S0014-0078,3,F10,PB097_S ,stool,PB097
S0014-0079,3,G10,PB099_S ,stool,PB099
S0014-0080,3,H10,PB103_S ,stool,PB103
S0014-0081,3,A11,PB104_S ,stool,PB104
S0014-0082,3,B11,PB105_S ,stool,PB105
S0014-0083,3,C11,PB106_S ,stool,PB106
S0014-0084,3,D11,PB107_S ,stool,PB107
S0014-0085,3,E11,PB109_S ,stool,PB109
S0014-0086,3,F11,PB110_S ,stool,PB110
S0014-0087,3,G11,PB111_S ,stool,PB111
S0014-0088,3,H11,PB114_S ,stool,PB114
S0014-0089,3,A12,PB115_S ,stool,PB115
S0014-0090,3,B12,PB116_S ,stool,PB116
S0014-0091,3,C12,PB117_S ,stool,PB117
S0014-0092,3,D12,PB118_S ,stool,PB118
S0014-0093,3,E12,PB119_S ,stool,PB119
S0014-0094,3,F12,PB120_S ,stool,PB120
DNA-072T,3,G12,blank 1,blank,NA
DNA-072U,3,H12,blank 2,blank,NA
S0014-0095,4,A1,PB122_S ,stool,PB122
S0014-0096,4,B1,PB126_S ,stool,PB126
S0014-0097,4,C1,PB127_S ,stool,PB127
S0014-0098,4,D1,PB128_S ,stool,PB128
S0014-0099,4,E1,PB129_S ,stool,PB129
S0014-0100,4,F1,PB130_S ,stool,PB130
S0014-0101,4,G1,PB131_S ,stool,PB131
S0014-0102,4,H1,PB132_S ,stool,PB132
S0014-0103,4,A2,PB133_S ,stool,PB133
S0014-0104,4,B2,PB134_S ,stool,PB134
S0014-0105,4,C2,PB135_S ,stool,PB135
S0014-0106,4,D2,PB137_S ,stool,PB137
S0014-0107,4,E2,PB138_S ,stool,PB138
S0014-0108,4,F2,PB139_S ,stool,PB139
S0014-0109,4,G2,PB140_S ,stool,PB140
S0014-0110,4,H2,PB141_S ,stool,PB141
S0014-0111,4,A3,PB142_S ,stool,PB142
S0014-0112,4,B3,PB144_S ,stool,PB144
S0014-0113,4,C3,PB145_S ,stool,PB145
S0014-0114,4,D3,PB146_S ,stool,PB146
S0014-0115,4,E3,PB147_S ,stool,PB147
S0014-0116,4,F3,PB148_S ,stool,PB148
S0014-0117,4,G3,PB149_S ,stool,PB149
S0014-0118,4,H3,PB150_S ,stool,PB150
S0014-0119,4,A4,PB151_S ,stool,PB151
S0014-0120,4,B4,PB153_S ,stool,PB153
S0014-0121,4,C4,PB154_S ,stool,PB154
S0014-0122,4,D4,PB155_S ,stool,PB155
S0014-0123,4,E4,PB157_S ,stool,PB157
S0014-0124,4,F4,PB158_S ,stool,PB158
S0014-0125,4,G4,PB159_S ,stool,PB159
S0014-0126,4,H4,PB160_S ,stool,PB160
S0014-0127,4,A5,PB165_S ,stool,PB165
